"country","date","topic","percentage"
"Germany",2004-02-01,"Welfare",0.238853503184713
"Germany",2004-03-01,"Welfare",1.17994100294985
"Germany",2004-04-01,"Welfare",0.426191398682681
"Germany",2004-05-01,"Welfare",0.542250338906462
"Germany",2004-06-01,"Welfare",1.1313639220616
"Germany",2004-07-01,"Welfare",0.132275132275132
"Germany",2004-09-01,"Welfare",0.86909288430201
"Germany",2004-10-01,"Welfare",1.81750741839763
"Germany",2004-11-01,"Welfare",0.92109303039607
"Germany",2004-12-01,"Welfare",0.403361344537815
"Germany",2005-01-01,"Welfare",1.08342361863489
"Germany",2005-02-01,"Welfare",0.273348519362187
"Germany",2005-03-01,"Welfare",1.88266199649737
"Germany",2005-04-01,"Welfare",0.57092665788318
"Germany",2005-05-01,"Welfare",0.909090909090909
"Germany",2005-06-01,"Welfare",1.01940151266031
"Germany",2005-07-01,"Welfare",1.92307692307692
"Germany",2005-09-01,"Welfare",1.95530726256983
"Germany",2005-11-01,"Welfare",0.896860986547085
"Germany",2005-12-01,"Welfare",1.08108108108108
"Germany",2006-01-01,"Welfare",0.648202710665881
"Germany",2006-02-01,"Welfare",1.07928601079286
"Germany",2006-03-01,"Welfare",1.32890365448505
"Germany",2006-04-01,"Welfare",1.70015455950541
"Germany",2006-05-01,"Welfare",0.793650793650794
"Germany",2006-06-01,"Welfare",1.06897429371341
"Germany",2006-09-01,"Welfare",0.722105753552294
"Germany",2006-10-01,"Welfare",1.32365499573015
"Germany",2006-11-01,"Welfare",1.41291108404385
"Germany",2006-12-01,"Welfare",0.716612377850163
"Germany",2007-01-01,"Welfare",0.445765230312036
"Germany",2007-02-01,"Welfare",2.68292682926829
"Germany",2007-03-01,"Welfare",1.24807987711214
"Germany",2007-04-01,"Welfare",0.191021967526266
"Germany",2007-05-01,"Welfare",0.498466257668712
"Germany",2007-06-01,"Welfare",0.637311703360371
"Germany",2007-07-01,"Welfare",1.15273775216138
"Germany",2007-09-01,"Welfare",1.00034494653329
"Germany",2007-10-01,"Welfare",0.723025583982202
"Germany",2007-11-01,"Welfare",0.930644803899845
"Germany",2007-12-01,"Welfare",1.15606936416185
"Germany",2008-01-01,"Welfare",2.3449920508744
"Germany",2008-02-01,"Welfare",0.444444444444444
"Germany",2008-03-01,"Welfare",0.938566552901024
"Germany",2008-04-01,"Welfare",1.3039934800326
"Germany",2008-05-01,"Welfare",0.548885077186964
"Germany",2008-06-01,"Welfare",1.13751777371521
"Germany",2008-09-01,"Welfare",1.45815106445028
"Germany",2008-10-01,"Welfare",0.939745715865119
"Germany",2008-11-01,"Welfare",0.685119210742669
"Germany",2008-12-01,"Welfare",0.955794504181601
"Germany",2009-01-01,"Welfare",1.27365356622999
"Germany",2009-02-01,"Welfare",1.72057811424639
"Germany",2009-03-01,"Welfare",0.707850707850708
"Germany",2009-04-01,"Welfare",0.873362445414847
"Germany",2009-05-01,"Welfare",1.22916666666667
"Germany",2009-06-01,"Welfare",1.24282982791587
"Germany",2009-07-01,"Welfare",1.58328055731476
"Germany",2009-11-01,"Welfare",1.52129817444219
"Germany",2009-12-01,"Welfare",0.29925187032419
"Germany",2010-01-01,"Welfare",1.11350574712644
"Germany",2010-02-01,"Welfare",0.196078431372549
"Germany",2010-03-01,"Welfare",0.673400673400673
"Germany",2010-04-01,"Welfare",0.253164556962025
"Germany",2010-05-01,"Welfare",1.63021868787276
"Germany",2010-06-01,"Welfare",0.595001983339944
"Germany",2010-07-01,"Welfare",0.893898173338515
"Germany",2010-09-01,"Welfare",1.03626943005181
"Germany",2010-10-01,"Welfare",1.00139082058414
"Germany",2010-11-01,"Welfare",1.61001788908766
"Germany",2010-12-01,"Welfare",1.3429413691451
"Germany",2011-01-01,"Welfare",0.911251980982567
"Germany",2011-02-01,"Welfare",0.47378395451674
"Germany",2011-03-01,"Welfare",0.942684766214178
"Germany",2011-04-01,"Welfare",0.814211695040711
"Germany",2011-05-01,"Welfare",1.29659643435981
"Germany",2011-06-01,"Welfare",0.157294534014943
"Germany",2011-07-01,"Welfare",0.421940928270042
"Germany",2011-09-01,"Welfare",1.0989010989011
"Germany",2011-10-01,"Welfare",0.892857142857143
"Germany",2011-11-01,"Welfare",0.618374558303887
"Germany",2011-12-01,"Welfare",1.16978609625668
"Germany",2012-01-01,"Welfare",1.35836995605274
"Germany",2012-02-01,"Welfare",0.529901589704769
"Germany",2012-03-01,"Welfare",1.43040528149642
"Germany",2012-04-01,"Welfare",1.25
"Germany",2012-05-01,"Welfare",1.6537293283834
"Germany",2012-06-01,"Welfare",1.20449678800857
"Germany",2012-09-01,"Welfare",1.61965931304105
"Germany",2012-10-01,"Welfare",1.55807365439093
"Germany",2012-11-01,"Welfare",0.965743440233236
"Germany",2012-12-01,"Welfare",0.96411355115158
"Germany",2013-01-01,"Welfare",1.59970238095238
"Germany",2013-02-01,"Welfare",0.841908325537886
"Germany",2013-03-01,"Welfare",1.47181338517079
"Germany",2013-04-01,"Welfare",0.767398782746758
"Germany",2013-05-01,"Welfare",1.03788271925272
"Germany",2013-06-01,"Welfare",1.19641076769691
"Germany",2013-09-01,"Welfare",0.903614457831325
"Germany",2013-11-01,"Welfare",0.62047569803516
"Germany",2013-12-01,"Welfare",2.37580993520518
"Germany",2014-01-01,"Welfare",1.20923415170392
"Germany",2014-02-01,"Welfare",0.661221314663555
"Germany",2014-03-01,"Welfare",0.850661625708885
"Germany",2014-04-01,"Welfare",1.65191740412979
"Germany",2014-05-01,"Welfare",1.60268356317555
"Germany",2014-06-01,"Welfare",1.17773019271949
"Germany",2014-07-01,"Welfare",0.750577367205543
"Germany",2014-09-01,"Welfare",1.29032258064516
"Germany",2014-10-01,"Welfare",0.395256916996047
"Germany",2014-11-01,"Welfare",2.05249654627985
"Germany",2014-12-01,"Welfare",0.654664484451719
"Germany",2015-01-01,"Welfare",0.522973477773627
"Germany",2015-02-01,"Welfare",0.307219662058372
"Germany",2015-03-01,"Welfare",1.07739665787159
"Germany",2015-04-01,"Welfare",1.07255520504732
"Germany",2015-05-01,"Welfare",0.0960614793467819
"Germany",2015-06-01,"Welfare",1.44451739986868
"Germany",2015-07-01,"Welfare",3.21743642968345
"Germany",2015-09-01,"Welfare",0.739856801909308
"Germany",2015-10-01,"Welfare",0.909842845326716
"Germany",2015-11-01,"Welfare",1.38169257340242
"Germany",2015-12-01,"Welfare",0.727398683754763
"Germany",2016-01-01,"Welfare",0.885582713425434
"Germany",2016-02-01,"Welfare",0.591510090466249
